UniProtKB_AC,Ensembl_Protein
P84085,ENSP00000000233
P20645,ENSP00000000412
Q02790,ENSP00000001008
Q9NR63,ENSP00000001146
Q7L592,ENSP00000002125
Q9BTY2,ENSP00000002165
O14792,ENSP00000002596
Q13275,ENSP00000002829
P13569,ENSP00000003084
Q16850,ENSP00000003100
Q96RU2,ENSP00000003302
P52569,ENSP00000004531
O14558,ENSP00000004982
Q16654,ENSP00000005178
Q9Y6N9,ENSP00000005226
P11233,ENSP00000005257
Q9UHR4,ENSP00000005260
O60359,ENSP00000005284
Q24JP5,ENSP00000005286
O14641,ENSP00000005340
Q9H6T3,ENSP00000005386
O75563,ENSP00000005587
Q9Y6M0,ENSP00000005995
P31270,ENSP00000006015
P78423,ENSP00000006053
O75865,ENSP00000006275
Q9H977,ENSP00000006526
Q8TB22,ENSP00000006658
Q14002,ENSP00000006724
Q6NTF9,ENSP00000006777
Q9UJK0,ENSP00000007390
Q9BZF2,ENSP00000007414
Q9Y2T7,ENSP00000007699
O76009,ENSP00000007735
Q7Z6R9,ENSP00000008391
Q16526,ENSP00000008527
O75594,ENSP00000008938
O95772,ENSP00000009041
Q96NX5,ENSP00000009105
P04233,ENSP00000009530
Q8TAV0,ENSP00000010299
P15085,ENSP00000011292
Q16563,ENSP00000011473
Q96S59,ENSP00000011619
P01730,ENSP00000011653
O75954,ENSP00000011898
Q9NXS2,ENSP00000012049
P53041,ENSP00000012443
Q8N806,ENSP00000013070
Q9Y4K4,ENSP00000013125
O95050,ENSP00000013222
P07992,ENSP00000013807
Q8NFJ5,ENSP00000014914
Q9NRV9,ENSP00000014930
Q7KZN9,ENSP00000016171
Q9NXJ0,ENSP00000016913
Q99666,ENSP00000016946
Q9H1B5,ENSP00000017003
P47872,ENSP00000019103
Q7L8C5,ENSP00000020926
O43623,ENSP00000020945
P82251,ENSP00000023064
A0A0A0MQR2,ENSP00000023939
Q8TDY2,ENSP00000025008
Q9UKA4,ENSP00000025301
Q9BRB3,ENSP00000026218
Q12864,ENSP00000027335
Q9UBV7,ENSP00000029410
Q9NYF5,ENSP00000033079
Q9P2E5,ENSP00000035307
P60520,ENSP00000037243
Q99972,ENSP00000037502
P00480,ENSP00000039007
Q96AE7,ENSP00000039989
P31273,ENSP00000040584
Q9BV20,ENSP00000040663
Q8NFC6,ENSP00000040738
Q13395,ENSP00000040877
Q9BZR6,ENSP00000043402
P25789,ENSP00000044462
Q96MK2,ENSP00000045083
Q9BS86,ENSP00000046087
Q13094,ENSP00000046794
P07585,ENSP00000052754
Q02223,ENSP00000053243
P82664,ENSP00000053468
P28799,ENSP00000053867
Q8WTV1,ENSP00000054650
Q15836,ENSP00000054666
O95399,ENSP00000054668
Q15293,ENSP00000054950
P35250,ENSP00000055077
Q6ZSY5,ENSP00000055335
Q5QGS0,ENSP00000055682
Q12774,ENSP00000056217
Q9Y4A8,ENSP00000056233
O43897,ENSP00000061240
Q9NTU7,ENSP00000064571
O75508,ENSP00000064724
Q92567,ENSP00000064778
Q969Z4,ENSP00000064780
Q99959,ENSP00000070846
Q9Y548,ENSP00000072644
Q7Z695,ENSP00000072869
P11169,ENSP00000075120
Q6J9G0,ENSP00000075503
P29992,ENSP00000078429
Q68CJ9,ENSP00000078445
Q8WUI4,ENSP00000080059
P82673,ENSP00000081029
Q92624,ENSP00000083182
O75493,ENSP00000084798
Q96AB3,ENSP00000085068
P20273,ENSP00000085219
O15499,ENSP00000086933
P08048,ENSP00000155093
P51787,ENSP00000155840
Q92519,ENSP00000155926
Q96G74,ENSP00000156084
Q92917,ENSP00000156109
O60306,ENSP00000156471
Q9NSC7,ENSP00000156626
Q9NZU5,ENSP00000157600
P43686,ENSP00000157812
Q8TC99,ENSP00000158009
Q15027,ENSP00000158762
Q9GZP9,ENSP00000158771
Q9HBY0,ENSP00000159060
Q9HCE9,ENSP00000159087
A0A0C4DFL8,ENSP00000159111
P32942,ENSP00000160262
Q8WZ74,ENSP00000160373
O94805,ENSP00000160382
Q14807,ENSP00000160827
Q9GZN4,ENSP00000161006
P13688,ENSP00000161559
Q9H6S0,ENSP00000161863
Q9NX61,ENSP00000162044
Q9P0K8,ENSP00000162391
P19438,ENSP00000162749
Q8TBA6,ENSP00000163416
Q9NYQ7,ENSP00000164024
Q15173,ENSP00000164133
P11217,ENSP00000164139
P20749,ENSP00000164227
Q92521,ENSP00000164305
P81277,ENSP00000165524
O95633,ENSP00000166139
P29322,ENSP00000166244
Q15645,ENSP00000166345
Q7L8A9,ENSP00000167106
P02533,ENSP00000167586
P35900,ENSP00000167588
Q13103,ENSP00000168148
Q99714,ENSP00000168216
P08620,ENSP00000168712
P15907,ENSP00000169298
Q9BVV7,ENSP00000169551
Q8N4F0,ENSP00000170150
Q8N1G1,ENSP00000170168
Q9H000,ENSP00000170447
Q9BRR8,ENSP00000170564
O00398,ENSP00000171757
Q9HBL0,ENSP00000171887
P08138,ENSP00000172229
O95631,ENSP00000173229
Q96CN7,ENSP00000173527
Q12816,ENSP00000173898
Q99583,ENSP00000174618
Q15012,ENSP00000175091
Q9H2U9,ENSP00000175238
Q99952,ENSP00000175756
P21917,ENSP00000176183
P09683,ENSP00000176195
O94804,ENSP00000176763
Q9UL17,ENSP00000177694
C9JJ19,ENSP00000177742
O43570,ENSP00000178638
Q13163,ENSP00000178640
Q9NQ88,ENSP00000179259
Q9NP95,ENSP00000180166
Q9Y216,ENSP00000180173
Q96IY4,ENSP00000181383
Q9H098,ENSP00000181796
Q14004,ENSP00000181839
Q96QS1,ENSP00000182290
Q15035,ENSP00000182527
Q9HAT0,ENSP00000184183
O95168,ENSP00000184266
Q6AI08,ENSP00000184956
Q96DZ1,ENSP00000185150
Q9NZA1,ENSP00000185206
Q92545,ENSP00000186436
Q9H6F2,ENSP00000187762
Q9GZN1,ENSP00000188312
Q12884,ENSP00000188790
Q9NQL9,ENSP00000190165
Q9H3Q3,ENSP00000192314
Q6BDS2,ENSP00000192788
Q86WC4,ENSP00000193322
Q9BZV3,ENSP00000193391
Q9BZW2,ENSP00000194130
Q9Y5E5,ENSP00000194152
Q9Y5E7,ENSP00000194155
Q9Y547,ENSP00000194214
